EVENT_NUMBER,AGENCY,DISTRICT,ALARM_LEVEL,CITY,NEIGHBORHOOD,BLOCK_BEGIN,BLOCK_END,STREET_NAME,INCIDENT_TYPE_ID,INCIDENT_TYPE_DESCRIPTION,INCIDENT_TYPE_ALIAS,INCIDENT_TIME_OF_OCCURANCE,CREATE_TIME_INCIDENT,ARRIVAL_TIME_PRIMARY_UNIT,CLOSED_TIME_INCIDENT,DISPATCH_TIME_PRIMARY_UNIT,TRANSMIT_TIME_PRIMARY_UNIT,PHONE_PICKUP_TIME,REPORTING_DISTRICT,STATUS_ID
LCP160418001096,POLICE,P4,0,CINC,HARTWELL,,,,INFO,GENERAL INFORMATION-,,,04/18/2016 04:42:56 PM,,04/18/2016 04:43:27 PM,,04/18/2016 04:42:03 PM,Apr 18 2016  4:41PM,454,N/A
CPD170929000376,,CP2,4,CINCINNATI,,6500,6599,Hedge Av,Two officers,,,Sep 29 2017  8:20AM,09/29/2017 08:16:23 AM,09/29/2017 08:38:54 AM,,09/29/2017 08:22:53 AM,,Sep 29 2017  8:16AM,,N/A
CPD170703000414,,CP4,35,CINCINNATI,,8400,8499,Dixie Av,No response,,,Jul  3 2017  8:27AM,07/03/2017 08:27:04 AM,,07/03/2017 08:32:58 AM,,,Jul  3 2017  8:26AM,,N/A
CPD170929000357,,CP3,35,CINCINNATI,,,,,One officer,,,Sep 29 2017  8:03AM,09/29/2017 08:02:35 AM,09/29/2017 08:05:15 AM,,09/29/2017 08:05:15 AM,09/29/2017 08:05:15 AM,Sep 29 2017  8:02AM,,N/A
FCF161108000213,,F3,1,CINC,CLIFTON,900,999,RUE DE LA PAIX ST,STRUCT,STRUCTURE FIRE,,,11/08/2016 10:05:27 PM,11/08/2016 10:09:03 PM,11/08/2016 10:36:23 PM,11/08/2016 10:06:05 PM,11/08/2016 10:04:39 PM,,351,N/A
LCP160208000835,POLICE,P2,0,CINC,MT.  WASHINGTON,2100,2199,OXFORD AV,NBRTRB,NEIGHBOR TROUBLE,,,02/08/2016 03:43:28 PM,02/08/2016 05:11:10 PM,02/08/2016 05:19:12 PM,02/08/2016 05:07:22 PM,02/08/2016 03:36:07 PM,Feb  8 2016  3:35PM,167,N/A
LCP160306001073,POLICE,P1,0,CINC,WEST  END,700,799,DERRICK TURNBOW AV,KIDS,JUVENILE COMPLAINT,,,03/06/2016 07:32:01 PM,03/06/2016 07:32:01 PM,03/06/2016 07:43:30 PM,03/06/2016 07:32:01 PM,03/06/2016 07:32:01 PM,,200,N/A
CPD170315000990,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar 15 2017  4:03PM,03/15/2017 04:01:49 PM,,03/15/2017 04:03:29 PM,,,Mar 15 2017  4:01PM,,N/A
CPD170303001069,,CP3,7,CINCINNATI,,,,,One officer,,,Mar  3 2017  4:16PM,03/03/2017 04:16:26 PM,,03/03/2017 04:37:42 PM,,,Mar  3 2017  4:16PM,,N/A
CPD170303001109,,CP3,5,CINCINNATI,,,,,One officer,,,Mar  3 2017  4:45PM,03/03/2017 04:45:24 PM,,,03/03/2017 04:46:19 PM,,Mar  3 2017  4:45PM,,N/A
CPD170303001098,,CP3,7,CINCINNATI,,3200,3299,Warsaw Av,One officer,,,Mar  3 2017  4:31PM,03/03/2017 04:31:54 PM,03/03/2017 04:37:55 PM,03/03/2017 04:53:32 PM,03/03/2017 04:37:54 PM,03/03/2017 04:37:55 PM,Mar  3 2017  4:25PM,,N/A
