EVENT_NUMBER,AGENCY,DISTRICT,ALARM_LEVEL,CITY,NEIGHBORHOOD,BLOCK_BEGIN,BLOCK_END,STREET_NAME,INCIDENT_TYPE_ID,INCIDENT_TYPE_DESCRIPTION,INCIDENT_TYPE_ALIAS,INCIDENT_TIME_OF_OCCURANCE,CREATE_TIME_INCIDENT,ARRIVAL_TIME_PRIMARY_UNIT,CLOSED_TIME_INCIDENT,DISPATCH_TIME_PRIMARY_UNIT,TRANSMIT_TIME_PRIMARY_UNIT,PHONE_PICKUP_TIME,REPORTING_DISTRICT,STATUS_ID
CPD170303000918,,CP4,7,CINCINNATI,,200,299,Goodman St,No response,,,Mar  3 2017  3:03PM,03/03/2017 03:03:42 PM,,03/03/2017 03:05:43 PM,,,Mar  3 2017  3:03PM,,N/A
CPD170303000919,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:05PM,03/03/2017 03:04:38 PM,,03/03/2017 03:17:53 PM,,,Mar  3 2017  3:04PM,,N/A
CPD170303001006,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:51PM,03/03/2017 03:50:22 PM,,03/03/2017 03:51:18 PM,,,Mar  3 2017  3:50PM,,N/A
CPD170303001005,,CP1,8,CINCINNATI,,1400,1499,BANK ST,One officer,,,Mar  3 2017  3:33PM,03/03/2017 03:33:51 PM,,,03/03/2017 03:52:53 PM,,Mar  3 2017  3:33PM,,N/A
CPD170303001024,,CP4,6,,,,,,One officer,,,Mar  3 2017  3:58PM,03/03/2017 03:58:08 PM,03/03/2017 03:58:08 PM,,03/03/2017 03:58:08 PM,03/03/2017 03:58:08 PM,Mar  3 2017  3:58PM,,N/A
CPD170303000939,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:15PM,03/03/2017 03:13:52 PM,,03/03/2017 03:15:11 PM,,,Mar  3 2017  3:13PM,,N/A
CPD170303000931,,CBS,1,CINCINNATI,,100,199,W 9TH ST,Two officers w/sup,,,Mar  3 2017  3:06PM,03/03/2017 03:05:45 PM,03/03/2017 03:16:02 PM,,03/03/2017 03:12:49 PM,03/03/2017 03:13:24 PM,Mar  3 2017  3:05PM,,N/A
CPD170303000943,,CP3,6,CINCINNATI,,900,999,Enright Av,Two officers,,,Mar  3 2017  3:14PM,03/03/2017 03:13:59 PM,03/03/2017 03:22:12 PM,03/03/2017 03:33:35 PM,03/03/2017 03:18:23 PM,,Mar  3 2017  3:13PM,,N/A
CPD170303000979,,CP4,6,CINCINNATI,,5200,5299,Lillian Dr,Two officers,,,Mar  3 2017  3:31PM,03/03/2017 03:29:47 PM,,,,,Mar  3 2017  3:29PM,,N/A
CPD170303000932,,CP2,7,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:10PM,03/03/2017 03:10:59 PM,03/03/2017 03:10:59 PM,03/03/2017 03:51:20 PM,03/03/2017 03:10:59 PM,03/03/2017 03:10:59 PM,Mar  3 2017  3:10PM,,N/A
CPD170303001023,,CP5,9,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:57PM,03/03/2017 03:57:44 PM,03/03/2017 03:57:44 PM,,03/03/2017 03:57:44 PM,03/03/2017 03:57:44 PM,Mar  3 2017  3:57PM,,N/A
CPD170303000928,,CP4,,CINCINNATI,,900,999,I75 Nb Exwy,,,,Mar  3 2017  3:07PM,03/03/2017 03:07:30 PM,,03/03/2017 03:08:47 PM,,,Mar  3 2017  3:07PM,,N/A
CPD170303001022,,CP5,7,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:56PM,03/03/2017 03:56:08 PM,03/03/2017 03:56:08 PM,,03/03/2017 03:56:08 PM,03/03/2017 03:56:08 PM,Mar  3 2017  3:56PM,,N/A
CPD170303001000,,CP4,9,CINCINNATI,,300,399,Helen St,One officer,,,Mar  3 2017  3:47PM,03/03/2017 03:47:56 PM,03/03/2017 03:47:56 PM,,03/03/2017 03:47:56 PM,03/03/2017 03:47:56 PM,Mar  3 2017  3:47PM,,N/A
CPD170303000966,,CP3,7,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:24PM,03/03/2017 03:24:29 PM,,,,,Mar  3 2017  3:24PM,,N/A
CPD170303000941,,CP3,7,CINCINNATI,,3500,3599,Werk Rd,One officer,,,Mar  3 2017  3:14PM,03/03/2017 03:13:57 PM,,,,,Mar  3 2017  3:13PM,,N/A
CPD170303000998,,CP4,7,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:42PM,03/03/2017 03:42:26 PM,,03/03/2017 03:46:19 PM,,,Mar  3 2017  3:42PM,,N/A
CPD170303000964,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:25PM,03/03/2017 03:25:06 PM,,03/03/2017 03:25:37 PM,,,Mar  3 2017  3:25PM,,N/A
CPD170303001003,,CP2,8,CINCINNATI,,2100,2199,GRANDIN RD,One officer,,,Mar  3 2017  3:43PM,03/03/2017 03:43:40 PM,03/03/2017 03:55:40 PM,,03/03/2017 03:55:40 PM,03/03/2017 03:55:40 PM,Mar  3 2017  3:43PM,,N/A
CPD170303000914,,CP5,6,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:03PM,03/03/2017 03:03:17 PM,03/03/2017 03:03:17 PM,,03/03/2017 03:03:17 PM,03/03/2017 03:03:17 PM,Mar  3 2017  3:03PM,,N/A
CPD170303000961,,CP3,7,CINCINNATI,,2000,2099,Radcliff Dr,No response,,,Mar  3 2017  3:24PM,03/03/2017 03:24:46 PM,,03/03/2017 03:25:15 PM,,,Mar  3 2017  3:24PM,,N/A
CPD170303000947,,CP5,6,,,,,,One officer,,,Mar  3 2017  3:17PM,03/03/2017 03:17:09 PM,03/03/2017 03:17:09 PM,03/03/2017 03:17:53 PM,03/03/2017 03:17:09 PM,03/03/2017 03:17:09 PM,Mar  3 2017  3:17PM,,N/A
CPD170303000965,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:25PM,03/03/2017 03:25:17 PM,,03/03/2017 03:26:10 PM,,,Mar  3 2017  3:25PM,,N/A
CPD170303000969,,CP4,7,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:25PM,03/03/2017 03:25:25 PM,03/03/2017 03:47:06 PM,,03/03/2017 03:31:26 PM,,Mar  3 2017  3:25PM,,N/A
CPD170303000984,,CP5,7,CINCINNATI,,2700,2799,Coy St,One officer,,,Mar  3 2017  3:35PM,03/03/2017 03:35:19 PM,,,03/03/2017 03:39:06 PM,03/03/2017 03:39:06 PM,Mar  3 2017  3:35PM,,N/A
CPD170303000910,,CP4,2,CINCINNATI,,7000,7099,Reading Rd,Two officers,,,Mar  3 2017  3:03PM,03/03/2017 03:03:17 PM,03/03/2017 03:03:17 PM,,03/03/2017 03:03:17 PM,03/03/2017 03:03:17 PM,Mar  3 2017  3:03PM,,N/A
CPD170303000905,,CP3,4,CINCINNATI,,1600,1699,Iliff Av,Two officers,,,Mar  3 2017  2:59PM,03/03/2017 02:59:23 PM,03/03/2017 03:04:49 PM,03/03/2017 03:27:34 PM,03/03/2017 03:01:49 PM,,Mar  3 2017  2:59PM,,N/A
CPD170303001021,,CBS,8,CINCINNATI,,500,599,E PETE ROSE WY,One officer,,,Mar  3 2017  3:55PM,03/03/2017 03:55:34 PM,,,03/03/2017 03:56:04 PM,,Mar  3 2017  3:55PM,,N/A
CPD170303000927,,CP5,4,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:06PM,03/03/2017 03:06:23 PM,,03/03/2017 03:09:01 PM,,,Mar  3 2017  3:06PM,,N/A
CPD170303000954,,CP3,7,CINCINNATI,,3100,3199,Warsaw Av,No response,,,Mar  3 2017  3:19PM,03/03/2017 03:19:16 PM,,03/03/2017 03:20:13 PM,,,Mar  3 2017  3:19PM,,N/A
CPD170303001001,,CP4,5,CINCINNATI,,800,899,I75 Nb Exwy,One officer,,,Mar  3 2017  3:49PM,03/03/2017 03:49:44 PM,03/03/2017 03:49:44 PM,,03/03/2017 03:49:44 PM,03/03/2017 03:49:44 PM,Mar  3 2017  3:49PM,,N/A
CPD170303000955,,CP4,5,CINCINNATI,,900,999,I75 Nb Exwy,One officer,,,Mar  3 2017  3:20PM,03/03/2017 03:20:25 PM,03/03/2017 03:48:02 PM,,03/03/2017 03:44:24 PM,,Mar  3 2017  3:20PM,,N/A
CPD170303000993,,CP1,5,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:41PM,03/03/2017 03:41:12 PM,03/03/2017 03:48:21 PM,,03/03/2017 03:47:48 PM,,Mar  3 2017  3:41PM,,N/A
CPD170303000960,,CP3,7,CINCINNATI,,2000,2099,Radcliff Dr,No response,,,Mar  3 2017  3:23PM,03/03/2017 03:22:03 PM,,03/03/2017 03:24:23 PM,,,Mar  3 2017  3:22PM,,N/A
CPD170303000912,,CP3,,CINCINNATI,,1000,1099,Underwood Pl,,,,Mar  3 2017  3:02PM,03/03/2017 03:02:42 PM,,03/03/2017 03:03:35 PM,,,Mar  3 2017  3:02PM,,N/A
CPD170303000963,,CP2,6,CINCINNATI,,3100,3199,Linview Av,No response,,,Mar  3 2017  3:21PM,03/03/2017 03:20:56 PM,,03/03/2017 03:25:33 PM,,,Mar  3 2017  3:20PM,,N/A
CPD170303000949,,CP4,8,CINCINNATI,,3500,3599,READING RD,One officer,,,Mar  3 2017  3:16PM,03/03/2017 03:16:47 PM,03/03/2017 03:18:55 PM,03/03/2017 03:43:50 PM,03/03/2017 03:18:55 PM,03/03/2017 03:18:55 PM,Mar  3 2017  3:16PM,,N/A
CPD170303001010,,CP5,4,CINCINNATI,,300,399,I75 Nb Exwy,One officer,,,Mar  3 2017  3:51PM,03/03/2017 03:50:17 PM,,03/03/2017 03:54:38 PM,,,Mar  3 2017  3:50PM,,N/A
CPD170303000934,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:12PM,03/03/2017 03:11:37 PM,,03/03/2017 03:12:52 PM,,,Mar  3 2017  3:11PM,,N/A
CPD170303000924,,CBS,7,CINCINNATI,,,,,No response,,,Mar  3 2017  3:06PM,03/03/2017 03:06:05 PM,,03/03/2017 03:16:38 PM,,,Mar  3 2017  3:06PM,,N/A
CPD170303000937,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:13PM,03/03/2017 03:13:03 PM,,03/03/2017 03:14:03 PM,,,Mar  3 2017  3:13PM,,N/A
CPD170303001007,,CP4,5,,,3700,3799,READING,One officer,,,Mar  3 2017  3:35PM,03/03/2017 03:35:54 PM,03/03/2017 03:35:53 PM,,03/03/2017 03:35:53 PM,03/03/2017 03:35:53 PM,Mar  3 2017  3:35PM,,N/A
CPD170303001020,,CP4,6,,,600,699,ROCKDALE AVE,One officer,,,Mar  3 2017  3:43PM,03/03/2017 03:43:58 PM,03/03/2017 03:43:58 PM,,03/03/2017 03:43:58 PM,03/03/2017 03:43:58 PM,Mar  3 2017  3:43PM,,N/A
CPD170303000959,,CP5,4,CINCINNATI,,2900,2999,Spring Grove Av,Two officers,,,Mar  3 2017  3:22PM,03/03/2017 03:22:27 PM,,03/03/2017 03:23:46 PM,,,Mar  3 2017  3:22PM,,N/A
CPD170303000952,,CP3,9,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:19PM,03/03/2017 03:19:14 PM,03/03/2017 03:19:14 PM,03/03/2017 03:24:17 PM,03/03/2017 03:19:14 PM,03/03/2017 03:19:14 PM,Mar  3 2017  3:19PM,,N/A
CPD170303000913,,CP5,6,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:03PM,03/03/2017 03:03:22 PM,03/03/2017 03:03:22 PM,03/03/2017 03:25:48 PM,03/03/2017 03:03:22 PM,03/03/2017 03:03:22 PM,Mar  3 2017  3:03PM,,N/A
CPD170303000974,,CP5,,CINCINNATI,,,,,,,,Mar  3 2017  3:28PM,03/03/2017 03:28:45 PM,,03/03/2017 03:29:23 PM,,,Mar  3 2017  3:28PM,,N/A
CPD170303000999,,CP1,7,CINCINNATI,,700,799,W 5th St,No response,,,Mar  3 2017  3:46PM,03/03/2017 03:46:33 PM,,03/03/2017 03:47:00 PM,,,Mar  3 2017  3:46PM,,N/A
CPD170303000995,,CP5,5,CINCINNATI,,200,299,W Mitchell Av,One officer,,,Mar  3 2017  3:41PM,03/03/2017 03:41:02 PM,03/03/2017 03:57:06 PM,,03/03/2017 03:49:00 PM,03/03/2017 03:46:42 PM,Mar  3 2017  3:41PM,,N/A
CPD170303000971,,CP1,5,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:26PM,03/03/2017 03:26:19 PM,,,,,Mar  3 2017  3:26PM,,N/A
CPD170303000962,,CP1,7,CINCINNATI,,800,899,Plum St,One officer,,,Mar  3 2017  3:24PM,03/03/2017 03:24:15 PM,,,03/03/2017 03:48:56 PM,,Mar  3 2017  3:24PM,,N/A
CPD170303000987,,CP3,,CINCINNATI,,3500,3599,Werk Rd,,,,Mar  3 2017  3:38PM,03/03/2017 03:38:18 PM,,03/03/2017 03:38:35 PM,,,Mar  3 2017  3:38PM,,N/A
CPD170303000986,,CP4,4,CINCINNATI,,900,999,I75 Nb Exwy,One officer,,,Mar  3 2017  3:36PM,03/03/2017 03:36:08 PM,03/03/2017 03:42:57 PM,03/03/2017 03:44:18 PM,03/03/2017 03:41:34 PM,,Mar  3 2017  3:36PM,,N/A
CPD170303000967,,CP2,7,CINCINNATI,,1300,1399,Duncan Av,No response,,,Mar  3 2017  3:26PM,03/03/2017 03:26:31 PM,,03/03/2017 03:26:58 PM,,,Mar  3 2017  3:26PM,,N/A
CPD170303000990,,CP5,5,CINCINNATI,,600,699,Riddle Rd,One officer,,,Mar  3 2017  3:40PM,03/03/2017 03:39:54 PM,,,03/03/2017 03:43:32 PM,03/03/2017 03:43:32 PM,Mar  3 2017  3:39PM,,N/A
CPD170303000915,,CP4,6,CINCINNATI,,5200,5299,Laconia Av,Two officers,,,Mar  3 2017  3:04PM,03/03/2017 03:04:06 PM,,03/03/2017 03:04:57 PM,,,Mar  3 2017  3:04PM,,N/A
CPD170303000921,,CP5,4,CINCINNATI,,,,,One officer,,,Mar  3 2017  3:05PM,03/03/2017 03:04:52 PM,,03/03/2017 03:07:19 PM,,,Mar  3 2017  3:04PM,,N/A
CPD170303000996,,CP3,,CINCINNATI,,2200,2299,Harrison Av,,,,Mar  3 2017  3:43PM,03/03/2017 03:43:20 PM,,03/03/2017 03:43:46 PM,,,Mar  3 2017  3:43PM,,N/A
CPD170303000970,,CBS,7,CINCINNATI,,0,99,Verify Me Ln,No response,,,Mar  3 2017  3:27PM,03/03/2017 03:27:06 PM,,03/03/2017 03:27:54 PM,,,Mar  3 2017  3:27PM,,N/A
CPD170303000938,,CP4,5,CINCINNATI,,800,899,I75 Nb Exwy,One officer,,,Mar  3 2017  3:12PM,03/03/2017 03:12:22 PM,03/03/2017 03:44:16 PM,,03/03/2017 03:18:28 PM,,Mar  3 2017  3:12PM,,N/A
